src,dst,product
KINRAY LLC,CORNER DRUG STORE #6200 (PA),
AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #3467 (KY),
BELLCO DRUG CORP,HARRIS TEETER PHARMACY #7348 (TN),
NATIONAL WHOLESALE DRUG CO INC,MEDICO PHARMACY #7647 (CO),
BELLCO DRUG CORP,HARRIS TEETER PHARMACY #6063 (NC),
GULF COAST MEDICAL SUPPLY,FAMILY CARE PHARMACY #5938 (AK),
MCKESSON CORPORATION,GOOD NEIGHBOR PHARMACY #8085 (OH),
DIRECT RX,CVS PHARMACY #4509 (LA),
HENRY SCHEIN INC,WINN-DIXIE PHARMACY #3113 (CO),
VALUEDRUGCO,RITE AID #1076 (RI),
PENN PHARMACEUTICAL SERVICES INC,GOOD NEIGHBOR PHARMACY #8896 (PA),
TEVA PHARMACEUTICALS USA INC,DIRECT RX,
DIRECT RX,WALGREENS #9697 (VA),
KINRAY LLC,HOMETOWN PHARMACY #4342 (MI),
AMERISOURCEBERGEN DRUG CORP,PEOPLES PHARMACY #6284 (NH),
MORRIS & DICKSON CO LLC,HEALTH MART PHARMACY #4238 (WY),
VALUEDRUGCO,WALMART PHARMACY #4084 (VA),
MORRIS & DICKSON CO LLC,FAMILY CARE PHARMACY #2595 (OH),
KINRAY LLC,VILLAGE PHARMACY #3118 (WA),
HENRY SCHEIN INC,PUBLIX PHARMACY #9124 (DE),
MIAMI-LUKEN INC,PUBLIX PHARMACY #1528 (VA),
KINRAY LLC,CVS PHARMACY #3583 (NM),
HD SMITH WHOLESALE DRUG CO,CVS PHARMACY #1770 (OR),
MCKESSON CORPORATION,WALGREENS #6346 (OH),
AMERISOURCEBERGEN DRUG CORP,PUBLIX PHARMACY #2532 (AZ),
KINRAY LLC,HEALTH MART PHARMACY #5181 (MI),
PENN PHARMACEUTICAL SERVICES INC,MAIN STREET PHARMACY #2532 (MN),
MORRIS & DICKSON CO LLC,PUBLIX PHARMACY #7037 (AK),
BURLINGTON DRUG COMPANY INC,GOOD NEIGHBOR PHARMACY #6129 (NC),
PRESCRIPTION SUPPLY INC,HOMETOWN PHARMACY #7488 (TN),
SMITH DRUG COMPANY,HOMETOWN PHARMACY #6513 (WV),
BURLINGTON DRUG COMPANY INC,VILLAGE PHARMACY #5653 (NH),
BURLINGTON DRUG COMPANY INC,COMMUNITY PHARMACY #7647 (MI),
SMITH DRUG COMPANY,WALGREENS #8038 (IN),
CARDINAL HEALTH INC,WALMART PHARMACY #2988 (IA),
AMERISOURCEBERGEN DRUG CORP,CORNER DRUG STORE #7024 (MA),
GULF COAST MEDICAL SUPPLY,MEDICO PHARMACY #8978 (MI),
MORRIS & DICKSON CO LLC,QUALITY CARE PHARMACY #5716 (LA),
BURLINGTON DRUG COMPANY INC,HOMETOWN PHARMACY #9385 (MI),
BURLINGTON DRUG COMPANY INC,CORNER DRUG STORE #8413 (MA),
NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #7146 (NJ),
AMERISOURCEBERGEN DRUG CORP,VILLAGE PHARMACY #9084 (ME),
DAKOTA DRUG INC,PUBLIX PHARMACY #4758 (VT),
SMITH DRUG COMPANY,WALMART PHARMACY #2320 (VA),
PENN PHARMACEUTICAL SERVICES INC,COMMUNITY PHARMACY #7241 (LA),
MIAMI-LUKEN INC,CVS PHARMACY #2048 (GA),
HENRY SCHEIN INC,PUBLIX PHARMACY #5454 (LA),
GULF COAST MEDICAL SUPPLY,MEDICO PHARMACY #1698 (IN),
KINRAY LLC,MAIN STREET PHARMACY #7456 (MI),
KINRAY LLC,PUBLIX PHARMACY #9833 (MI),
PENN PHARMACEUTICAL SERVICES INC,MAIN STREET PHARMACY #3572 (TN),
BURLINGTON DRUG COMPANY INC,RITE AID #3893 (AZ),
HD SMITH WHOLESALE DRUG CO,GOOD NEIGHBOR PHARMACY #2493 (HI),
MIAMI-LUKEN INC,PEOPLES PHARMACY #2660 (NC),
HD SMITH WHOLESALE DRUG CO,HEALTH MART PHARMACY #6354 (SC),
MORRIS & DICKSON CO LLC,PEOPLES PHARMACY #8932 (PA),
LANNETT COMPANY INC,PENN PHARMACEUTICAL SERVICES INC,
PENN PHARMACEUTICAL SERVICES INC,MAIN STREET PHARMACY #7581 (LA),
CADISTA PHARMACEUTICALS INC,MORRIS & DICKSON CO LLC,
MORRIS & DICKSON CO LLC,KROGER PHARMACY #1393 (OH),
NATIONAL WHOLESALE DRUG CO INC,QUALITY CARE PHARMACY #6888 (MO),
VALUEDRUGCO,HARRIS TEETER PHARMACY #7261 (KY),
PRESCRIPTION SUPPLY INC,HEALTH MART PHARMACY #7087 (VA),
PENN PHARMACEUTICAL SERVICES INC,PUBLIX PHARMACY #2234 (VA),
DAKOTA DRUG INC,CVS PHARMACY #5523 (NC),
MORRIS & DICKSON CO LLC,RITE AID #9320 (LA),
PRESCRIPTION SUPPLY INC,HARRIS TEETER PHARMACY #6061 (MI),
CARDINAL HEALTH INC,SUNRISE PHARMACY #1684 (LA),
AMERISOURCEBERGEN DRUG CORP,FAMILY CARE PHARMACY #7018 (MT),
CARDINAL HEALTH INC,SUNRISE PHARMACY #7702 (NC),
DIRECT RX,HOMETOWN PHARMACY #5569 (NC),
KINRAY LLC,KROGER PHARMACY #6683 (OH),
HD SMITH WHOLESALE DRUG CO,VILLAGE PHARMACY #9397 (NC),
CARDINAL HEALTH INC,RITE AID #9322 (LA),
PRESCRIPTION SUPPLY INC,CVS PHARMACY #9746 (TN),
KEYSOURCE MEDICAL INC,WINN-DIXIE PHARMACY #1883 (IN),
ANDA INC,HEALTH MART PHARMACY #7432 (NY),
KINRAY LLC,CVS PHARMACY #6414 (OK),
BURLINGTON DRUG COMPANY INC,RITE AID #1243 (IN),
PRESCRIPTION SUPPLY INC,PUBLIX PHARMACY #5454 (LA),
DAKOTA DRUG INC,QUALITY CARE PHARMACY #8594 (CO),
ANDA INC,WALGREENS #8149 (HI),
VALUEDRUGCO,COMMUNITY PHARMACY #7344 (LA),
PENN PHARMACEUTICAL SERVICES INC,HARRIS TEETER PHARMACY #6432 (MA),
HENRY SCHEIN INC,MEDICO PHARMACY #8538 (LA),
CARDINAL HEALTH INC,QUALITY CARE PHARMACY #6507 (NC),
NATIONAL WHOLESALE DRUG CO INC,WINN-DIXIE PHARMACY #7277 (DE),
HENRY SCHEIN INC,WALGREENS #2438 (VT),
CARDINAL HEALTH INC,PEOPLES PHARMACY #3698 (ME),
AMERISOURCEBERGEN DRUG CORP,MEDICO PHARMACY #7114 (NJ),
BELLCO DRUG CORP,WALMART PHARMACY #1108 (WV),
KINRAY LLC,CVS PHARMACY #9326 (KY),
GULF COAST MEDICAL SUPPLY,MEDICO PHARMACY #5392 (NC),
KINRAY LLC,HARRIS TEETER PHARMACY #8771 (MT),
SMITH DRUG COMPANY,WALMART PHARMACY #1108 (WV),
PRESCRIPTION SUPPLY INC,FAMILY CARE PHARMACY #4540 (UT),
BURLINGTON DRUG COMPANY INC,MEDICO PHARMACY #6767 (NC),
HENRY SCHEIN INC,CORNER DRUG STORE #1453 (OH),
MORRIS & DICKSON CO LLC,HEALTH MART PHARMACY #6354 (SC),
NATIONAL WHOLESALE DRUG CO INC,HEALTH MART PHARMACY #4092 (AZ),
PRESCRIPTION SUPPLY INC,PUBLIX PHARMACY #2055 (NC),
KEYSOURCE MEDICAL INC,FAMILY CARE PHARMACY #5079 (SC),
AMERISOURCEBERGEN DRUG CORP,CVS PHARMACY #9632 (HI),
CARDINAL HEALTH INC,FAMILY CARE PHARMACY #7468 (NE),
PENN PHARMACEUTICAL SERVICES INC,COMMUNITY PHARMACY #4205 (PA),
PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #8234 (IN),
VINTAGE PHARMACEUTICALS LLC,AMERISOURCEBERGEN DRUG CORP,
AMERISOURCEBERGEN DRUG CORP,COMMUNITY PHARMACY #6858 (LA),
BURLINGTON DRUG COMPANY INC,WINN-DIXIE PHARMACY #8492 (ID),
SMITH DRUG COMPANY,CORNER DRUG STORE #9661 (KY),
SMITH DRUG COMPANY,CVS PHARMACY #4509 (LA),
BELLCO DRUG CORP,QUALITY CARE PHARMACY #6874 (MI),
DAKOTA DRUG INC,WALGREENS #6125 (VA),
KEYSOURCE MEDICAL INC,CVS PHARMACY #7287 (MI),
MORRIS & DICKSON CO LLC,CORNER DRUG STORE #4480 (IN),
ENDO PHARMACEUTICALS INC,DAKOTA DRUG INC,
DAKOTA DRUG INC,VILLAGE PHARMACY #2199 (KS),
VALUEDRUGCO,HARRIS TEETER PHARMACY #3290 (NE),
NATIONAL WHOLESALE DRUG CO INC,WALMART PHARMACY #1339 (NC),
KINRAY LLC,MAIN STREET PHARMACY #8987 (ME),
BELLCO DRUG CORP,HEALTH MART PHARMACY #5181 (MI),
NATIONAL WHOLESALE DRUG CO INC,COMMUNITY PHARMACY #2313 (LA),
BELLCO DRUG CORP,COMMUNITY PHARMACY #6858 (LA),
BELLCO DRUG CORP,KROGER PHARMACY #7901 (WI),
MCKESSON CORPORATION,WALMART PHARMACY #5569 (MS),
PENN PHARMACEUTICAL SERVICES INC,SUNRISE PHARMACY #7649 (PA),
VALUEDRUGCO,MEDICO PHARMACY #9557 (OH),
DIRECT RX,CVS PHARMACY #5523 (NC),
MCKESSON CORPORATION,WALMART PHARMACY #6539 (CO),
MCKESSON CORPORATION,COMMUNITY PHARMACY #9849 (AK),
HD SMITH WHOLESALE DRUG CO,WINN-DIXIE PHARMACY #5364 (SD),
CARDINAL HEALTH INC,RITE AID #8167 (LA),
SMITH DRUG COMPANY,PEOPLES PHARMACY #2660 (NC),
MORRIS & DICKSON CO LLC,HARRIS TEETER PHARMACY #8108 (VA),
SMITH DRUG COMPANY,CORNER DRUG STORE #2632 (NV),
GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #1430 (ND),
MCKESSON CORPORATION,CVS PHARMACY #7478 (ID),
HD SMITH WHOLESALE DRUG CO,HOMETOWN PHARMACY #6513 (WV),
SMITH DRUG COMPANY,MAIN STREET PHARMACY #1358 (IN),
DAKOTA DRUG INC,HOMETOWN PHARMACY #9431 (CA),
MORRIS & DICKSON CO LLC,MEDICO PHARMACY #8978 (MI),
BURLINGTON DRUG COMPANY INC,VILLAGE PHARMACY #3551 (WY),
AMERISOURCEBERGEN DRUG CORP,PUBLIX PHARMACY #8639 (OH),
PRESCRIPTION SUPPLY INC,HEALTH MART PHARMACY #5260 (PA),
AMERISOURCEBERGEN DRUG CORP,RITE AID #9223 (WV),
MORRIS & DICKSON CO LLC,HEALTH MART PHARMACY #5593 (KY),
VALUEDRUGCO,VILLAGE PHARMACY #8234 (IN),
BURLINGTON DRUG COMPANY INC,WALGREENS #9259 (NY),
MIAMI-LUKEN INC,GOOD NEIGHBOR PHARMACY #4375 (OH),
BELLCO DRUG CORP,CVS PHARMACY #7858 (TX),
PENN PHARMACEUTICAL SERVICES INC,FAMILY CARE PHARMACY #7438 (PA),
DIRECT RX,KROGER PHARMACY #9142 (OH),
SMITH DRUG COMPANY,PEOPLES PHARMACY #3668 (MI),
DIRECT RX,COMMUNITY PHARMACY #9384 (NH),
VALUEDRUGCO,HOMETOWN PHARMACY #3315 (LA),
HD SMITH WHOLESALE DRUG CO,COMMUNITY PHARMACY #7241 (LA),
GULF COAST MEDICAL SUPPLY,HOMETOWN PHARMACY #6061 (MI),
MORRIS & DICKSON CO LLC,MAIN STREET PHARMACY #6741 (AZ),
BURLINGTON DRUG COMPANY INC,MEDICO PHARMACY #5873 (MI),
PENN PHARMACEUTICAL SERVICES INC,GOOD NEIGHBOR PHARMACY #1775 (CT),
KINRAY LLC,KROGER PHARMACY #3523 (OH),
HENRY SCHEIN INC,PEOPLES PHARMACY #3759 (TN),
MORRIS & DICKSON CO LLC,PEOPLES PHARMACY #6007 (WV),
DIRECT RX,PUBLIX PHARMACY #5797 (OR),
DAKOTA DRUG INC,WINN-DIXIE PHARMACY #2866 (PA),
SMITH DRUG COMPANY,GOOD NEIGHBOR PHARMACY #2494 (WV),
CARDINAL HEALTH INC,WINN-DIXIE PHARMACY #5962 (PA),
ANDA INC,PEOPLES PHARMACY #2660 (NC),
VALUEDRUGCO,WALMART PHARMACY #7653 (PA),
PENN PHARMACEUTICAL SERVICES INC,QUALITY CARE PHARMACY #1825 (OH),
MIAMI-LUKEN INC,CORNER DRUG STORE #4739 (MI),
GULF COAST MEDICAL SUPPLY,WINN-DIXIE PHARMACY #6027 (IN),
BURLINGTON DRUG COMPANY INC,WINN-DIXIE PHARMACY #2041 (MI),
GULF COAST MEDICAL SUPPLY,WALMART PHARMACY #1108 (WV),
PENN PHARMACEUTICAL SERVICES INC,SUNRISE PHARMACY #1845 (LA),
PRESCRIPTION SUPPLY INC,WALGREENS #6172 (CT),
MIAMI-LUKEN INC,HEALTH MART PHARMACY #9940 (GA),
MIAMI-LUKEN INC,KROGER PHARMACY #5686 (VA),
BELLCO DRUG CORP,CVS PHARMACY #6085 (IN),
VALUEDRUGCO,GOOD NEIGHBOR PHARMACY #2790 (PA),
AMERISOURCEBERGEN DRUG CORP,CORNER DRUG STORE #1213 (TN),
KEYSOURCE MEDICAL INC,FAMILY CARE PHARMACY #5152 (MI),
AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #2172 (WV),
PENN PHARMACEUTICAL SERVICES INC,CORNER DRUG STORE #6747 (ID),
BELLCO DRUG CORP,RITE AID #3349 (TN),
KEYSOURCE MEDICAL INC,FAMILY CARE PHARMACY #3467 (KY),
VALUEDRUGCO,FAMILY CARE PHARMACY #1847 (OH),
DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #7697 (PA),
BURLINGTON DRUG COMPANY INC,WALMART PHARMACY #1339 (NC),
DAKOTA DRUG INC,VILLAGE PHARMACY #7454 (PA),
VALUEDRUGCO,QUALITY CARE PHARMACY #4531 (MD),
MIAMI-LUKEN INC,HEALTH MART PHARMACY #8822 (AR),
KINRAY LLC,HARRIS TEETER PHARMACY #3834 (MN),
AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #1995 (NJ),
SMITH DRUG COMPANY,QUALITY CARE PHARMACY #8047 (TX),
MCKESSON CORPORATION,HOMETOWN PHARMACY #6061 (MI),
SMITH DRUG COMPANY,MAIN STREET PHARMACY #2094 (KY),
HENRY SCHEIN INC,COMMUNITY PHARMACY #8229 (IN),
PRESCRIPTION SUPPLY INC,MAIN STREET PHARMACY #9832 (OH),
SMITH DRUG COMPANY,FAMILY CARE PHARMACY #5331 (IN),
ANDA INC,PUBLIX PHARMACY #8639 (OH),
KINRAY LLC,CORNER DRUG STORE #5842 (PA),
MCKESSON CORPORATION,HARRIS TEETER PHARMACY #3473 (WV),
ANDA INC,CORNER DRUG STORE #6054 (OR),
DIRECT RX,FAMILY CARE PHARMACY #2827 (CO),
HD SMITH WHOLESALE DRUG CO,FAMILY CARE PHARMACY #4323 (MN),
MALLINCKRODT LLC,GULF COAST MEDICAL SUPPLY,
GULF COAST MEDICAL SUPPLY,PUBLIX PHARMACY #4056 (DE),
BURLINGTON DRUG COMPANY INC,VILLAGE PHARMACY #3051 (SD),
HD SMITH WHOLESALE DRUG CO,QUALITY CARE PHARMACY #2449 (MD),
CARDINAL HEALTH INC,RITE AID #9117 (NY),
GULF COAST MEDICAL SUPPLY,HEALTH MART PHARMACY #2342 (HI),
PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #8894 (WI),
MCKESSON CORPORATION,HARRIS TEETER PHARMACY #4306 (PA),
MIAMI-LUKEN INC,MAIN STREET PHARMACY #5125 (CO),
SMITH DRUG COMPANY,MEDICO PHARMACY #7770 (FL),
GULF COAST MEDICAL SUPPLY,MAIN STREET PHARMACY #6973 (LA),
KINRAY LLC,HOMETOWN PHARMACY #3267 (SD),
GULF COAST MEDICAL SUPPLY,CORNER DRUG STORE #1213 (TN),
SMITH DRUG COMPANY,HOMETOWN PHARMACY #6387 (NC),
CARDINAL HEALTH INC,GOOD NEIGHBOR PHARMACY #9998 (DE),
VALUEDRUGCO,MEDICO PHARMACY #6745 (VA),
GULF COAST MEDICAL SUPPLY,MEDICO PHARMACY #4957 (HI),
CARDINAL HEALTH INC,CORNER DRUG STORE #9561 (PA),
CARDINAL HEALTH INC,CVS PHARMACY #4109 (IN),
MORRIS & DICKSON CO LLC,CORNER DRUG STORE #3580 (SD),
AMERISOURCEBERGEN DRUG CORP,GOOD NEIGHBOR PHARMACY #7697 (PA),
CARDINAL HEALTH INC,HEALTH MART PHARMACY #2149 (CA),
BELLCO DRUG CORP,FAMILY CARE PHARMACY #3467 (KY),
MORRIS & DICKSON CO LLC,FAMILY CARE PHARMACY #2951 (LA),
PENN PHARMACEUTICAL SERVICES INC,SUNRISE PHARMACY #8405 (VA),
AMERISOURCEBERGEN DRUG CORP,SUNRISE PHARMACY #2882 (KY),
HD SMITH WHOLESALE DRUG CO,HARRIS TEETER PHARMACY #3473 (WV),
PENN PHARMACEUTICAL SERVICES INC,PUBLIX PHARMACY #1697 (MI),
DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #6030 (IL),
MORRIS & DICKSON CO LLC,WINN-DIXIE PHARMACY #4694 (OH),
HD SMITH WHOLESALE DRUG CO,GOOD NEIGHBOR PHARMACY #5066 (NV),
VALUEDRUGCO,KROGER PHARMACY #9652 (OH),
MIAMI-LUKEN INC,PEOPLES PHARMACY #6594 (KY),
MCKESSON CORPORATION,FAMILY CARE PHARMACY #3398 (KY),
ANDA INC,WALMART PHARMACY #4084 (VA),
SMITH DRUG COMPANY,HARRIS TEETER PHARMACY #6415 (MD),
GULF COAST MEDICAL SUPPLY,SUNRISE PHARMACY #6929 (SC),
CARDINAL HEALTH INC,PUBLIX PHARMACY #8653 (MI),
CARDINAL HEALTH INC,WINN-DIXIE PHARMACY #8492 (ID),
BURLINGTON DRUG COMPANY INC,HARRIS TEETER PHARMACY #4306 (PA),
ANDA INC,WALGREENS #7900 (VA),
SMITH DRUG COMPANY,FAMILY CARE PHARMACY #3203 (KY),
CARDINAL HEALTH INC,WINN-DIXIE PHARMACY #2552 (RI),
MORRIS & DICKSON CO LLC,CVS PHARMACY #5523 (NY),
MCKESSON CORPORATION,SUNRISE PHARMACY #6637 (LA),
MIAMI-LUKEN INC,HOMETOWN PHARMACY #6061 (MI),
HD SMITH WHOLESALE DRUG CO,PEOPLES PHARMACY #9504 (KY),
DIRECT RX,HARRIS TEETER PHARMACY #7275 (IN),
BELLCO DRUG CORP,CVS PHARMACY #2372 (MO),
DAKOTA DRUG INC,COMMUNITY PHARMACY #1898 (TN),
KINRAY LLC,PEOPLES PHARMACY #4297 (TN),
MORRIS & DICKSON CO LLC,CVS PHARMACY #6965 (LA),
KINRAY LLC,HOMETOWN PHARMACY #3315 (LA),
MCKESSON CORPORATION,WALMART PHARMACY #2988 (IA),
BELLCO DRUG CORP,WALMART PHARMACY #6565 (SC),
NATIONAL WHOLESALE DRUG CO INC,MAIN STREET PHARMACY #2347 (OK),
MCKESSON CORPORATION,FAMILY CARE PHARMACY #4016 (NH),
MIAMI-LUKEN INC,QUALITY CARE PHARMACY #6847 (WV),
SMITH DRUG COMPANY,CORNER DRUG STORE #2273 (LA),
ANDA INC,WALMART PHARMACY #2083 (MI),
AMERISOURCEBERGEN DRUG CORP,HOMETOWN PHARMACY #9646 (TN),
VALUEDRUGCO,WALMART PHARMACY #8317 (MO),
MCKESSON CORPORATION,WALMART PHARMACY #4965 (SC),
VALUEDRUGCO,WALGREENS #5306 (TN),
MIAMI-LUKEN INC,SUNRISE PHARMACY #8787 (TN),
KEYSOURCE MEDICAL INC,PEOPLES PHARMACY #2021 (TN),
PENN PHARMACEUTICAL SERVICES INC,WINN-DIXIE PHARMACY #8378 (VA),
CARDINAL HEALTH INC,WALMART PHARMACY #9266 (IN),
NATIONAL WHOLESALE DRUG CO INC,HOMETOWN PHARMACY #4010 (CA),
ANDA INC,KROGER PHARMACY #5686 (VA),
KEYSOURCE MEDICAL INC,HEALTH MART PHARMACY #4740 (VA),
ANDA INC,HARRIS TEETER PHARMACY #7234 (WV),
ANDA INC,HEALTH MART PHARMACY #6716 (UT),
NATIONAL WHOLESALE DRUG CO INC,RITE AID #5094 (NE),
ANDA INC,HOMETOWN PHARMACY #4970 (CA),
KINRAY LLC,KROGER PHARMACY #4811 (WI),
KEYSOURCE MEDICAL INC,PEOPLES PHARMACY #6990 (OH),
ANDA INC,CVS PHARMACY #6965 (LA),
MCKESSON CORPORATION,SUNRISE PHARMACY #5581 (TN),
KEYSOURCE MEDICAL INC,WALGREENS #3635 (NC),
PRESCRIPTION SUPPLY INC,QUALITY CARE PHARMACY #4985 (TN),
NATIONAL WHOLESALE DRUG CO INC,WALGREENS #1949 (IN),
NATIONAL WHOLESALE DRUG CO INC,MEDICO PHARMACY #1407 (IL),
HD SMITH WHOLESALE DRUG CO,CVS PHARMACY #2408 (IN),
MIAMI-LUKEN INC,HARRIS TEETER PHARMACY #3473 (WV),
AMERISOURCEBERGEN DRUG CORP,MEDICO PHARMACY #9532 (OH),
PENN PHARMACEUTICAL SERVICES INC,GOOD NEIGHBOR PHARMACY #5599 (OK),
PRESCRIPTION SUPPLY INC,MAIN STREET PHARMACY #2094 (KY),
HD SMITH WHOLESALE DRUG CO,HOMETOWN PHARMACY #7506 (IN),
BELLCO DRUG CORP,CVS PHARMACY #3745 (AZ),
HENRY SCHEIN INC,WALMART PHARMACY #2320 (VA),
MORRIS & DICKSON CO LLC,CVS PHARMACY #4698 (OH),
MORRIS & DICKSON CO LLC,CVS PHARMACY #4509 (LA),
HD SMITH WHOLESALE DRUG CO,HARRIS TEETER PHARMACY #2399 (ID),
NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #9786 (ID),
NATIONAL WHOLESALE DRUG CO INC,WINN-DIXIE PHARMACY #3643 (MI),
AMERISOURCEBERGEN DRUG CORP,MEDICO PHARMACY #9170 (VT),
SMITH DRUG COMPANY,KROGER PHARMACY #3779 (SC),
VALUEDRUGCO,SUNRISE PHARMACY #5581 (TN),
NATIONAL WHOLESALE DRUG CO INC,VILLAGE PHARMACY #1474 (RI),
DAKOTA DRUG INC,HOMETOWN PHARMACY #5099 (MD),
GULF COAST MEDICAL SUPPLY,WALGREENS #6014 (MI),
CARDINAL HEALTH INC,HOMETOWN PHARMACY #8152 (WV),
VALUEDRUGCO,VILLAGE PHARMACY #9964 (OH),
DIRECT RX,PEOPLES PHARMACY #9504 (KY),
DIRECT RX,WINN-DIXIE PHARMACY #6849 (MD),
DAKOTA DRUG INC,HEALTH MART PHARMACY #5181 (MI),
KINRAY LLC,HOMETOWN PHARMACY #3383 (VT),
HENRY SCHEIN INC,PUBLIX PHARMACY #9432 (NV),
KINRAY LLC,QUALITY CARE PHARMACY #4381 (CO),
KEYSOURCE MEDICAL INC,GOOD NEIGHBOR PHARMACY #8533 (OH),
PRESCRIPTION SUPPLY INC,FAMILY CARE PHARMACY #6977 (NC),
NATIONAL WHOLESALE DRUG CO INC,PEOPLES PHARMACY #9504 (KY),
MORRIS & DICKSON CO LLC,PUBLIX PHARMACY #2055 (NC),
NATIONAL WHOLESALE DRUG CO INC,WINN-DIXIE PHARMACY #1725 (NM),
DIRECT RX,WINN-DIXIE PHARMACY #5962 (PA),
BELLCO DRUG CORP,PEOPLES PHARMACY #7931 (CA),
HD SMITH WHOLESALE DRUG CO,FAMILY CARE PHARMACY #1786 (OR),
CARDINAL HEALTH INC,QUALITY CARE PHARMACY #9347 (UT),
PRESCRIPTION SUPPLY INC,VILLAGE PHARMACY #2361 (VT),
DAKOTA DRUG INC,HARRIS TEETER PHARMACY #1893 (LA),
PRESCRIPTION SUPPLY INC,COMMUNITY PHARMACY #7046 (MA),
DIRECT RX,FAMILY CARE PHARMACY #4054 (MO),
DAKOTA DRUG INC,HOMETOWN PHARMACY #3673 (VA),
MORRIS & DICKSON CO LLC,COMMUNITY PHARMACY #7241 (LA),
HENRY SCHEIN INC,RITE AID #9980 (ME),
VINTAGE PHARMACEUTICALS LLC,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,COMMUNITY PHARMACY #3160 (TX),
KEYSOURCE MEDICAL INC,HARRIS TEETER PHARMACY #7237 (KS),
HD SMITH WHOLESALE DRUG CO,MEDICO PHARMACY #2001 (NE),
ENDO PHARMACEUTICALS INC,SMITH DRUG COMPANY,
SMITH DRUG COMPANY,SUNRISE PHARMACY #8405 (VA),
BELLCO DRUG CORP,PUBLIX PHARMACY #8639 (OH),
PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #5688 (MI),
MCKESSON CORPORATION,HOMETOWN PHARMACY #7506 (IN),
PENN PHARMACEUTICAL SERVICES INC,COMMUNITY PHARMACY #4168 (ME),
AMERISOURCEBERGEN DRUG CORP,PEOPLES PHARMACY #7605 (AZ),
MIAMI-LUKEN INC,WALMART PHARMACY #5079 (LA),
AMERISOURCEBERGEN DRUG CORP,WALGREENS #7193 (FL),
PRESCRIPTION SUPPLY INC,FAMILY CARE PHARMACY #4012 (VA),
KINRAY LLC,FAMILY CARE PHARMACY #8739 (NM),
DIRECT RX,HARRIS TEETER PHARMACY #1284 (MN),
BELLCO DRUG CORP,WINN-DIXIE PHARMACY #6027 (IN),
HENRY SCHEIN INC,HEALTH MART PHARMACY #1579 (AR),
BELLCO DRUG CORP,MAIN STREET PHARMACY #2208 (PA),
SMITH DRUG COMPANY,RITE AID #9137 (GA),
KEYSOURCE MEDICAL INC,HOMETOWN PHARMACY #4482 (KY),
VALUEDRUGCO,MAIN STREET PHARMACY #4198 (PA),
GULF COAST MEDICAL SUPPLY,GOOD NEIGHBOR PHARMACY #7746 (TN),
PENN PHARMACEUTICAL SERVICES INC,COMMUNITY PHARMACY #2490 (KY),
NATIONAL WHOLESALE DRUG CO INC,PEOPLES PHARMACY #4050 (HI),
DAKOTA DRUG INC,HOMETOWN PHARMACY #8919 (KY),
ANDA INC,HARRIS TEETER PHARMACY #6432 (MA),
DAKOTA DRUG INC,RITE AID #9980 (ME),
ANDA INC,HEALTH MART PHARMACY #5593 (KY),
BURLINGTON DRUG COMPANY INC,QUALITY CARE PHARMACY #9242 (KY),
HD SMITH WHOLESALE DRUG CO,HARRIS TEETER PHARMACY #4455 (CT),
ANDA INC,CORNER DRUG STORE #5511 (VT),
ANDA INC,PEOPLES PHARMACY #4809 (WV),
MCKESSON CORPORATION,QUALITY CARE PHARMACY #5716 (LA),
DIRECT RX,WALGREENS #1373 (PA),
KEYSOURCE MEDICAL INC,SUNRISE PHARMACY #8440 (TN),
KINRAY LLC,COMMUNITY PHARMACY #9734 (IN),
DIRECT RX,KROGER PHARMACY #1528 (NY),
KEYSOURCE MEDICAL INC,CORNER DRUG STORE #2997 (IN),
DAKOTA DRUG INC,PEOPLES PHARMACY #2021 (TN),
ANDA INC,SUNRISE PHARMACY #8028 (LA),
GULF COAST MEDICAL SUPPLY,CVS PHARMACY #3954 (OH),
DAKOTA DRUG INC,HARRIS TEETER PHARMACY #8108 (VA),
NATIONAL WHOLESALE DRUG CO INC,QUALITY CARE PHARMACY #1232 (AZ),
SMITH DRUG COMPANY,MEDICO PHARMACY #7163 (WI),
MCKESSON CORPORATION,VILLAGE PHARMACY #1377 (VA),
CARDINAL HEALTH INC,COMMUNITY PHARMACY #4205 (PA),
PRESCRIPTION SUPPLY INC,MEDICO PHARMACY #2927 (MI),
VALUEDRUGCO,QUALITY CARE PHARMACY #3409 (ND),
MORRIS & DICKSON CO LLC,CVS PHARMACY #2076 (VA),
HENRY SCHEIN INC,WALMART PHARMACY #5220 (ME),
AMERISOURCEBERGEN DRUG CORP,PUBLIX PHARMACY #7101 (VA),
DAKOTA DRUG INC,CORNER DRUG STORE #7916 (MO),
