manufacturer,disrupted_node,retailer,retailer_state,severity,no_listed_backup,action,entity,route,entity_risk,entity_capacity,entity_state_share,plan_score,activation_days,est_recovery_days,baseline_days_no_graph,days_saved_vs_no_graph
QUALITEST PHARMACEUTICALS,CARDINAL HEALTH INC,RITE AID #2593 (ID),ID,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,QUALITEST PHARMACEUTICALS -> MIAMI-LUKEN INC -> RITE AID #2593 (ID),0.9815,1.0,0.0065,0.2591,1.5,49.5,67.9,0.0
ABBOTT LABORATORIES,VALUEDRUGCO,HEALTH MART PHARMACY #8461 (GA),GA,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,ABBOTT LABORATORIES -> CARDINAL HEALTH INC -> HEALTH MART PHARMACY #8461 (GA),0.8652,0.1959,0.0031,0.0974,1.5,49.5,67.9,0.0
VINTAGE PHARMACEUTICALS LLC,PRESCRIPTION SUPPLY INC,RITE AID #3349 (TN),TN,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,VINTAGE PHARMACEUTICALS LLC -> MIAMI-LUKEN INC -> RITE AID #3349 (TN),0.9815,1.0,0.0288,0.268,1.5,49.5,67.9,0.0
ENDO PHARMACEUTICALS INC,KEYSOURCE MEDICAL INC,HARRIS TEETER PHARMACY #5423 (HI),HI,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ENDO PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> HARRIS TEETER PHARMACY #5423 (HI),0.9815,1.0,0.0022,0.2573,1.5,49.5,67.9,0.0
PAR PHARMACEUTICAL INC,MCKESSON CORPORATION,VILLAGE PHARMACY #3392 (NY),NY,3,True,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,PAR PHARMACEUTICAL INC -> MIAMI-LUKEN INC -> VILLAGE PHARMACY #3392 (NY),0.9815,1.0,0.0014,0.257,1.5,74.3,102.0,27.6
ENDO PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,WINN-DIXIE PHARMACY #2880 (MI),MI,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ENDO PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> WINN-DIXIE PHARMACY #2880 (MI),0.9815,1.0,0.0252,0.2666,1.5,49.5,67.9,0.0
RHODES TECHNOLOGIES,KEYSOURCE MEDICAL INC,WALGREENS #3078 (MA),MA,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,RHODES TECHNOLOGIES -> CARDINAL HEALTH INC -> WALGREENS #3078 (MA),0.8652,0.1959,0.0121,0.101,1.5,49.5,67.9,0.0
MYLAN PHARMACEUTICALS INC,VALUEDRUGCO,VILLAGE PHARMACY #8600 (HI),HI,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,MYLAN PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> VILLAGE PHARMACY #8600 (HI),0.8652,0.1959,0.0117,0.1008,1.5,49.5,67.9,0.0
QUALITEST PHARMACEUTICALS,ANDA INC,KROGER PHARMACY #4771 (NV),NV,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,QUALITEST PHARMACEUTICALS -> MIAMI-LUKEN INC -> KROGER PHARMACY #4771 (NV),0.9815,1.0,0.0024,0.2574,1.5,49.5,67.9,0.0
MYLAN PHARMACEUTICALS INC,BELLCO DRUG CORP,WALMART PHARMACY #2083 (MI),MI,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MYLAN PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> WALMART PHARMACY #2083 (MI),0.9815,1.0,0.0252,0.2666,1.5,49.5,67.9,0.0
RHODES TECHNOLOGIES,KINRAY LLC,CORNER DRUG STORE #1973 (TX),TX,3,False,T1_REROUTE_EXISTING,MORRIS & DICKSON CO LLC,RHODES TECHNOLOGIES -> MORRIS & DICKSON CO LLC -> CORNER DRUG STORE #1973 (TX),0.872,0.1241,0.0072,0.0787,1.5,74.3,102.0,0.0
MYLAN PHARMACEUTICALS INC,BURLINGTON DRUG COMPANY INC,PEOPLES PHARMACY #6564 (IN),IN,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MYLAN PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> PEOPLES PHARMACY #6564 (IN),0.9815,1.0,0.0312,0.269,1.5,74.3,102.0,0.0
ABBOTT LABORATORIES,CARDINAL HEALTH INC,COMMUNITY PHARMACY #2700 (OK),OK,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,ABBOTT LABORATORIES -> DAKOTA DRUG INC -> COMMUNITY PHARMACY #2700 (OK),0.8719,0.1818,0.0124,0.0953,1.5,49.5,67.9,0.0
SUN PHARMA GLOBAL INC,DAKOTA DRUG INC,WALGREENS #5730 (AR),AR,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,SUN PHARMA GLOBAL INC -> MIAMI-LUKEN INC -> WALGREENS #5730 (AR),0.9815,1.0,0.0064,0.259,1.5,49.5,67.9,0.0
TEVA PHARMACEUTICALS USA INC,BURLINGTON DRUG COMPANY INC,FAMILY CARE PHARMACY #2731 (OH),OH,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,TEVA PHARMACEUTICALS USA INC -> MIAMI-LUKEN INC -> FAMILY CARE PHARMACY #2731 (OH),0.9815,1.0,0.0308,0.2688,1.5,49.5,67.9,0.0
MALLINCKRODT LLC,BURLINGTON DRUG COMPANY INC,HARRIS TEETER PHARMACY #5346 (KS),KS,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MALLINCKRODT LLC -> MIAMI-LUKEN INC -> HARRIS TEETER PHARMACY #5346 (KS),0.9815,1.0,0.0031,0.2577,1.5,49.5,67.9,0.0
ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,GOOD NEIGHBOR PHARMACY #4482 (NJ),NJ,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,ABBOTT LABORATORIES -> DAKOTA DRUG INC -> GOOD NEIGHBOR PHARMACY #4482 (NJ),0.8719,0.1818,0.0161,0.0967,1.5,49.5,67.9,0.0
MYLAN PHARMACEUTICALS INC,KINRAY LLC,GOOD NEIGHBOR PHARMACY #7379 (WA),WA,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,MYLAN PHARMACEUTICALS INC -> DAKOTA DRUG INC -> GOOD NEIGHBOR PHARMACY #7379 (WA),0.8719,0.1818,0.085,0.1243,1.5,49.5,67.9,0.0
PAR PHARMACEUTICAL INC,DIRECT RX,HARRIS TEETER PHARMACY #3473 (WV),WV,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,PAR PHARMACEUTICAL INC -> MIAMI-LUKEN INC -> HARRIS TEETER PHARMACY #3473 (WV),0.9815,1.0,0.5743,0.4862,1.5,49.5,67.9,0.0
LANNETT COMPANY INC,KEYSOURCE MEDICAL INC,VILLAGE PHARMACY #3051 (SD),SD,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,LANNETT COMPANY INC -> MIAMI-LUKEN INC -> VILLAGE PHARMACY #3051 (SD),0.9815,1.0,0.005,0.2585,1.5,49.5,67.9,0.0
SANDOZ INC,MORRIS & DICKSON CO LLC,MEDICO PHARMACY #4635 (MT),MT,2,False,T1_REROUTE_EXISTING,MCKESSON CORPORATION,SANDOZ INC -> MCKESSON CORPORATION -> MEDICO PHARMACY #4635 (MT),0.8788,0.1815,0.013,0.093,1.5,49.5,67.9,0.0
CADISTA PHARMACEUTICALS INC,DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #2150 (CA),CA,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,CADISTA PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> GOOD NEIGHBOR PHARMACY #2150 (CA),0.8652,0.1959,0.0065,0.0988,1.5,49.5,67.9,0.0
MYLAN PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,WALGREENS #7353 (OK),OK,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MYLAN PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> WALGREENS #7353 (OK),0.9815,1.0,0.0072,0.2594,1.5,49.5,67.9,0.0
PURDUE PHARMA LP,SMITH DRUG COMPANY,COMMUNITY PHARMACY #9484 (NV),NV,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,PURDUE PHARMA LP -> CARDINAL HEALTH INC -> COMMUNITY PHARMACY #9484 (NV),0.8652,0.1959,0.0075,0.0991,1.5,49.5,67.9,0.0
ACTAVIS PHARMA INC,NATIONAL WHOLESALE DRUG CO INC,HARRIS TEETER PHARMACY #3473 (WV),WV,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ACTAVIS PHARMA INC -> MIAMI-LUKEN INC -> HARRIS TEETER PHARMACY #3473 (WV),0.9815,1.0,0.5743,0.4862,1.5,49.5,67.9,0.0
VINTAGE PHARMACEUTICALS LLC,SMITH DRUG COMPANY,WINN-DIXIE PHARMACY #1281 (AZ),AZ,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,VINTAGE PHARMACEUTICALS LLC -> CARDINAL HEALTH INC -> WINN-DIXIE PHARMACY #1281 (AZ),0.8652,0.1959,0.0068,0.0988,1.5,49.5,67.9,0.0
AMNEAL PHARMACEUTICALS LLC,BURLINGTON DRUG COMPANY INC,WALMART PHARMACY #4965 (SC),SC,2,False,T1_REROUTE_EXISTING,DIRECT RX,AMNEAL PHARMACEUTICALS LLC -> DIRECT RX -> WALMART PHARMACY #4965 (SC),0.8585,0.1504,0.0142,0.0928,1.5,49.5,67.9,0.0
HIKMA PHARMACEUTICALS,NATIONAL WHOLESALE DRUG CO INC,SUNRISE PHARMACY #7702 (NC),NC,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,HIKMA PHARMACEUTICALS -> MIAMI-LUKEN INC -> SUNRISE PHARMACY #7702 (NC),0.9815,1.0,0.0471,0.2753,1.5,49.5,67.9,0.0
WATSON LABORATORIES INC,DAKOTA DRUG INC,PEOPLES PHARMACY #2660 (NC),NC,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,WATSON LABORATORIES INC -> MIAMI-LUKEN INC -> PEOPLES PHARMACY #2660 (NC),0.9815,1.0,0.0471,0.2753,1.5,49.5,67.9,0.0
SANDOZ INC,KINRAY LLC,WALMART PHARMACY #5220 (ME),ME,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,SANDOZ INC -> CARDINAL HEALTH INC -> WALMART PHARMACY #5220 (ME),0.8652,0.1959,0.0066,0.0988,1.5,49.5,67.9,0.0
RHODES TECHNOLOGIES,CARDINAL HEALTH INC,PEOPLES PHARMACY #2660 (NC),NC,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,RHODES TECHNOLOGIES -> MIAMI-LUKEN INC -> PEOPLES PHARMACY #2660 (NC),0.9815,1.0,0.0471,0.2753,1.5,74.3,102.0,0.0
SUN PHARMA GLOBAL INC,CARDINAL HEALTH INC,GOOD NEIGHBOR PHARMACY #2494 (WV),WV,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,SUN PHARMA GLOBAL INC -> MIAMI-LUKEN INC -> GOOD NEIGHBOR PHARMACY #2494 (WV),0.9815,1.0,0.5743,0.4862,1.5,49.5,67.9,0.0
CADISTA PHARMACEUTICALS INC,BELLCO DRUG CORP,WALGREENS #4628 (WA),WA,2,False,T1_REROUTE_EXISTING,MCKESSON CORPORATION,CADISTA PHARMACEUTICALS INC -> MCKESSON CORPORATION -> WALGREENS #4628 (WA),0.8788,0.1815,0.0064,0.0903,1.5,49.5,67.9,0.0
ENDO PHARMACEUTICALS INC,VALUEDRUGCO,HOMETOWN PHARMACY #1142 (NE),NE,4,True,T1_REROUTE_EXISTING,DAKOTA DRUG INC,ENDO PHARMACEUTICALS INC -> DAKOTA DRUG INC -> HOMETOWN PHARMACY #1142 (NE),0.8719,0.1818,0.0101,0.0943,1.5,99.4,132.0,32.6
LANNETT COMPANY INC,SMITH DRUG COMPANY,RITE AID #9223 (WV),WV,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,LANNETT COMPANY INC -> MIAMI-LUKEN INC -> RITE AID #9223 (WV),0.9815,1.0,0.5743,0.4862,1.5,49.5,67.9,0.0
QUALITEST PHARMACEUTICALS,DIRECT RX,COMMUNITY PHARMACY #8090 (LA),LA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,QUALITEST PHARMACEUTICALS -> MIAMI-LUKEN INC -> COMMUNITY PHARMACY #8090 (LA),0.9815,1.0,0.0497,0.2764,1.5,49.5,67.9,0.0
ENDO PHARMACEUTICALS INC,CARDINAL HEALTH INC,FAMILY CARE PHARMACY #4495 (MO),MO,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,ENDO PHARMACEUTICALS INC -> DAKOTA DRUG INC -> FAMILY CARE PHARMACY #4495 (MO),0.8719,0.1818,0.0051,0.0923,1.5,49.5,67.9,0.0
TEVA PHARMACEUTICALS USA INC,HENRY SCHEIN INC,FAMILY CARE PHARMACY #2595 (OH),OH,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,TEVA PHARMACEUTICALS USA INC -> MIAMI-LUKEN INC -> FAMILY CARE PHARMACY #2595 (OH),0.9815,1.0,0.0308,0.2688,1.5,49.5,67.9,0.0
CADISTA PHARMACEUTICALS INC,CARDINAL HEALTH INC,QUALITY CARE PHARMACY #7081 (NJ),NJ,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,CADISTA PHARMACEUTICALS INC -> DAKOTA DRUG INC -> QUALITY CARE PHARMACY #7081 (NJ),0.8719,0.1818,0.0161,0.0967,1.5,49.5,67.9,0.0
SANDOZ INC,PRESCRIPTION SUPPLY INC,WINN-DIXIE PHARMACY #9226 (CT),CT,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,SANDOZ INC -> CARDINAL HEALTH INC -> WINN-DIXIE PHARMACY #9226 (CT),0.8652,0.1959,0.0133,0.1015,1.5,49.5,67.9,0.0
SANDOZ INC,BURLINGTON DRUG COMPANY INC,GOOD NEIGHBOR PHARMACY #9442 (VA),VA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,SANDOZ INC -> MIAMI-LUKEN INC -> GOOD NEIGHBOR PHARMACY #9442 (VA),0.9815,1.0,0.0162,0.2629,1.5,49.5,67.9,0.0
JANSSEN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,PEOPLES PHARMACY #6853 (ND),ND,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,JANSSEN PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> PEOPLES PHARMACY #6853 (ND),0.8652,0.1959,0.0034,0.0975,1.5,49.5,67.9,0.0
PURDUE PHARMA LP,NATIONAL WHOLESALE DRUG CO INC,GOOD NEIGHBOR PHARMACY #4363 (OK),OK,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,PURDUE PHARMA LP -> DAKOTA DRUG INC -> GOOD NEIGHBOR PHARMACY #4363 (OK),0.8719,0.1818,0.0124,0.0953,1.5,49.5,67.9,0.0
CADISTA PHARMACEUTICALS INC,PRESCRIPTION SUPPLY INC,HEALTH MART PHARMACY #9547 (VA),VA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,CADISTA PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> HEALTH MART PHARMACY #9547 (VA),0.9815,1.0,0.0162,0.2629,1.5,49.5,67.9,0.0
JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,MAIN STREET PHARMACY #6741 (AZ),AZ,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,JANSSEN PHARMACEUTICALS INC -> DAKOTA DRUG INC -> MAIN STREET PHARMACY #6741 (AZ),0.8719,0.1818,0.0143,0.096,1.5,49.5,67.9,0.0
LANNETT COMPANY INC,BURLINGTON DRUG COMPANY INC,CORNER DRUG STORE #5404 (NE),NE,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,LANNETT COMPANY INC -> MIAMI-LUKEN INC -> CORNER DRUG STORE #5404 (NE),0.9815,1.0,0.004,0.2581,1.5,49.5,67.9,0.0
MYLAN PHARMACEUTICALS INC,GULF COAST MEDICAL SUPPLY,FAMILY CARE PHARMACY #3097 (SC),SC,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,MYLAN PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> FAMILY CARE PHARMACY #3097 (SC),0.9815,1.0,0.0031,0.2577,1.5,49.5,67.9,0.0
QUALITEST PHARMACEUTICALS,VALUEDRUGCO,SUNRISE PHARMACY #9917 (KS),KS,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,QUALITEST PHARMACEUTICALS -> MIAMI-LUKEN INC -> SUNRISE PHARMACY #9917 (KS),0.9815,1.0,0.0031,0.2577,1.5,49.5,67.9,0.0
QUALITEST PHARMACEUTICALS,HENRY SCHEIN INC,PUBLIX PHARMACY #2397 (LA),LA,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,QUALITEST PHARMACEUTICALS -> MIAMI-LUKEN INC -> PUBLIX PHARMACY #2397 (LA),0.9815,1.0,0.0497,0.2764,1.5,74.3,102.0,0.0
JANSSEN PHARMACEUTICALS INC,MCKESSON CORPORATION,CORNER DRUG STORE #1891 (MT),MT,3,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,JANSSEN PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> CORNER DRUG STORE #1891 (MT),0.8652,0.1959,0.0233,0.1055,1.5,74.3,102.0,0.0
ABBOTT LABORATORIES,KINRAY LLC,CVS PHARMACY #7228 (FL),FL,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,ABBOTT LABORATORIES -> CARDINAL HEALTH INC -> CVS PHARMACY #7228 (FL),0.8652,0.1959,0.0024,0.0971,1.5,49.5,67.9,0.0
LANNETT COMPANY INC,DIRECT RX,WALMART PHARMACY #5027 (SD),SD,3,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,LANNETT COMPANY INC -> DAKOTA DRUG INC -> WALMART PHARMACY #5027 (SD),0.8719,0.1818,0.022,0.0991,1.5,74.3,102.0,0.0
JANSSEN PHARMACEUTICALS INC,ANDA INC,HEALTH MART PHARMACY #1722 (WY),WY,3,False,T1_REROUTE_EXISTING,MCKESSON CORPORATION,JANSSEN PHARMACEUTICALS INC -> MCKESSON CORPORATION -> HEALTH MART PHARMACY #1722 (WY),0.8788,0.1815,0.0064,0.0904,1.5,74.3,102.0,0.0
PURDUE PHARMA LP,DAKOTA DRUG INC,COMMUNITY PHARMACY #2490 (KY),KY,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,PURDUE PHARMA LP -> MIAMI-LUKEN INC -> COMMUNITY PHARMACY #2490 (KY),0.9815,1.0,0.0243,0.2662,1.5,74.3,102.0,0.0
AMNEAL PHARMACEUTICALS LLC,DAKOTA DRUG INC,WALGREENS #3121 (SC),SC,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,AMNEAL PHARMACEUTICALS LLC -> CARDINAL HEALTH INC -> WALGREENS #3121 (SC),0.8652,0.1959,0.0079,0.0993,1.5,49.5,67.9,0.0
ABBOTT LABORATORIES,PENN PHARMACEUTICAL SERVICES INC,WINN-DIXIE PHARMACY #5962 (PA),PA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ABBOTT LABORATORIES -> MIAMI-LUKEN INC -> WINN-DIXIE PHARMACY #5962 (PA),0.9815,1.0,0.0219,0.2652,1.5,49.5,67.9,0.0
PURDUE PHARMA LP,DAKOTA DRUG INC,GOOD NEIGHBOR PHARMACY #9827 (AZ),AZ,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,PURDUE PHARMA LP -> MIAMI-LUKEN INC -> GOOD NEIGHBOR PHARMACY #9827 (AZ),0.9815,1.0,0.0078,0.2596,1.5,49.5,67.9,0.0
ACTAVIS PHARMA INC,GULF COAST MEDICAL SUPPLY,COMMUNITY PHARMACY #2294 (TN),TN,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,ACTAVIS PHARMA INC -> CARDINAL HEALTH INC -> COMMUNITY PHARMACY #2294 (TN),0.8652,0.1959,0.1,0.1362,1.5,49.5,67.9,0.0
JANSSEN PHARMACEUTICALS INC,MIAMI-LUKEN INC,HEALTH MART PHARMACY #6840 (FL),FL,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,JANSSEN PHARMACEUTICALS INC -> CARDINAL HEALTH INC -> HEALTH MART PHARMACY #6840 (FL),0.8652,0.1959,0.0024,0.0971,1.5,49.5,67.9,0.0
HIKMA PHARMACEUTICALS,BELLCO DRUG CORP,HOMETOWN PHARMACY #3142 (FL),FL,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,HIKMA PHARMACEUTICALS -> MIAMI-LUKEN INC -> HOMETOWN PHARMACY #3142 (FL),0.9815,1.0,0.0082,0.2598,1.5,49.5,67.9,0.0
ACTAVIS PHARMA INC,SMITH DRUG COMPANY,PEOPLES PHARMACY #6007 (WV),WV,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ACTAVIS PHARMA INC -> MIAMI-LUKEN INC -> PEOPLES PHARMACY #6007 (WV),0.9815,1.0,0.5743,0.4862,1.5,74.3,102.0,0.0
ENDO PHARMACEUTICALS INC,KINRAY LLC,MAIN STREET PHARMACY #2472 (ND),ND,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ENDO PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> MAIN STREET PHARMACY #2472 (ND),0.9815,1.0,0.0037,0.2579,1.5,49.5,67.9,0.0
ACTAVIS PHARMA INC,HENRY SCHEIN INC,KROGER PHARMACY #5224 (NH),NH,3,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,ACTAVIS PHARMA INC -> DAKOTA DRUG INC -> KROGER PHARMACY #5224 (NH),0.8719,0.1818,0.0046,0.0921,1.5,74.3,102.0,0.0
ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,CORNER DRUG STORE #2639 (VA),VA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ABBOTT LABORATORIES -> MIAMI-LUKEN INC -> CORNER DRUG STORE #2639 (VA),0.9815,1.0,0.0162,0.2629,1.5,49.5,67.9,0.0
ACTAVIS PHARMA INC,NATIONAL WHOLESALE DRUG CO INC,RITE AID #3418 (WV),WV,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ACTAVIS PHARMA INC -> MIAMI-LUKEN INC -> RITE AID #3418 (WV),0.9815,1.0,0.5743,0.4862,1.5,74.3,102.0,0.0
ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,SUNRISE PHARMACY #1845 (LA),LA,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ABBOTT LABORATORIES -> MIAMI-LUKEN INC -> SUNRISE PHARMACY #1845 (LA),0.9815,1.0,0.0497,0.2764,1.5,49.5,67.9,0.0
CADISTA PHARMACEUTICALS INC,HENRY SCHEIN INC,MAIN STREET PHARMACY #2094 (KY),KY,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,CADISTA PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> MAIN STREET PHARMACY #2094 (KY),0.9815,1.0,0.0243,0.2662,1.5,49.5,67.9,0.0
ENDO PHARMACEUTICALS INC,ANDA INC,HARRIS TEETER PHARMACY #5699 (AZ),AZ,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ENDO PHARMACEUTICALS INC -> MIAMI-LUKEN INC -> HARRIS TEETER PHARMACY #5699 (AZ),0.9815,1.0,0.0078,0.2596,1.5,74.3,102.0,0.0
TEVA PHARMACEUTICALS USA INC,ANDA INC,MEDICO PHARMACY #2927 (MI),MI,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,TEVA PHARMACEUTICALS USA INC -> MIAMI-LUKEN INC -> MEDICO PHARMACY #2927 (MI),0.9815,1.0,0.0252,0.2666,1.5,49.5,67.9,0.0
PAR PHARMACEUTICAL INC,ANDA INC,GOOD NEIGHBOR PHARMACY #9772 (VA),VA,2,False,T1_REROUTE_EXISTING,DAKOTA DRUG INC,PAR PHARMACEUTICAL INC -> DAKOTA DRUG INC -> GOOD NEIGHBOR PHARMACY #9772 (VA),0.8719,0.1818,0.1058,0.1326,1.5,49.5,67.9,0.0
LANNETT COMPANY INC,SMITH DRUG COMPANY,KROGER PHARMACY #7238 (CO),CO,3,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,LANNETT COMPANY INC -> CARDINAL HEALTH INC -> KROGER PHARMACY #7238 (CO),0.8652,0.1959,0.0207,0.1044,1.5,74.3,102.0,0.0
HIKMA PHARMACEUTICALS,KEYSOURCE MEDICAL INC,WALMART PHARMACY #6240 (NC),NC,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,HIKMA PHARMACEUTICALS -> MIAMI-LUKEN INC -> WALMART PHARMACY #6240 (NC),0.9815,1.0,0.0471,0.2753,1.5,49.5,67.9,0.0
QUALITEST PHARMACEUTICALS,VALUEDRUGCO,MAIN STREET PHARMACY #5037 (UT),UT,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,QUALITEST PHARMACEUTICALS -> CARDINAL HEALTH INC -> MAIN STREET PHARMACY #5037 (UT),0.8652,0.1959,0.012,0.1009,1.5,49.5,67.9,0.0
SUN PHARMA GLOBAL INC,HD SMITH WHOLESALE DRUG CO,PEOPLES PHARMACY #2021 (TN),TN,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,SUN PHARMA GLOBAL INC -> MIAMI-LUKEN INC -> PEOPLES PHARMACY #2021 (TN),0.9815,1.0,0.0288,0.268,1.5,74.3,102.0,0.0
QUALITEST PHARMACEUTICALS,PRESCRIPTION SUPPLY INC,GOOD NEIGHBOR PHARMACY #8085 (OH),OH,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,QUALITEST PHARMACEUTICALS -> MIAMI-LUKEN INC -> GOOD NEIGHBOR PHARMACY #8085 (OH),0.9815,1.0,0.0308,0.2688,1.5,49.5,67.9,0.0
QUALITEST PHARMACEUTICALS,GULF COAST MEDICAL SUPPLY,MEDICO PHARMACY #6092 (NY),NY,2,False,T1_REROUTE_EXISTING,MORRIS & DICKSON CO LLC,QUALITEST PHARMACEUTICALS -> MORRIS & DICKSON CO LLC -> MEDICO PHARMACY #6092 (NY),0.872,0.1241,0.0073,0.0787,1.5,49.5,67.9,0.0
SANDOZ INC,ANDA INC,VILLAGE PHARMACY #3656 (WA),WA,2,False,T1_REROUTE_EXISTING,CARDINAL HEALTH INC,SANDOZ INC -> CARDINAL HEALTH INC -> VILLAGE PHARMACY #3656 (WA),0.8652,0.1959,0.007,0.0989,1.5,49.5,67.9,0.0
ABBOTT LABORATORIES,KEYSOURCE MEDICAL INC,QUALITY CARE PHARMACY #7561 (KY),KY,2,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ABBOTT LABORATORIES -> MIAMI-LUKEN INC -> QUALITY CARE PHARMACY #7561 (KY),0.9815,1.0,0.0243,0.2662,1.5,49.5,67.9,0.0
ACTAVIS PHARMA INC,BURLINGTON DRUG COMPANY INC,WALGREENS #3635 (NC),NC,3,False,T1_REROUTE_EXISTING,MIAMI-LUKEN INC,ACTAVIS PHARMA INC -> MIAMI-LUKEN INC -> WALGREENS #3635 (NC),0.9815,1.0,0.0471,0.2753,1.5,74.3,102.0,0.0
